2021-01-25 23:18:21,327 [1] INFO  VirusChan - ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:18:21,339 [4] INFO  VirusChan - C:\Users\Chanos\Desktop\git\VirusChan\VirusChan\image\urls.png ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:18:22,193 [4] INFO  VirusChan - C:\Users\Chanos\Desktop\git\VirusChan\VirusChan\image\urls.png ÆÄÀÏ ÃÖÃÊ ½ºÄµ ÇÊ¿ä, ½ºÄµ Áß
2021-01-25 23:18:23,612 [4] INFO  VirusChan - C:\Users\Chanos\Desktop\git\VirusChan\VirusChan\image\urls.png ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:18:29,239 [4] INFO  VirusChan - C:\Users\Chanos\Desktop\git\VirusChan\VirusChan\image\urls.png ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:18:34,834 [4] INFO  VirusChan - C:\Users\Chanos\Desktop\git\VirusChan\VirusChan\image\urls.png ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:20:13,644 [1] INFO  VirusChan - ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:20:13,672 [4] INFO  VirusChan - C:\Users\Chanos\Documents\chanos.png ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:20:14,535 [4] INFO  VirusChan - C:\Users\Chanos\Documents\chanos.png ÆÄÀÏ ÃÖÃÊ ½ºÄµ ÇÊ¿ä, ½ºÄµ Áß
2021-01-25 23:20:16,002 [4] INFO  VirusChan - C:\Users\Chanos\Documents\chanos.png ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:20:21,717 [4] INFO  VirusChan - C:\Users\Chanos\Documents\chanos.png ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:20:27,328 [4] INFO  VirusChan - C:\Users\Chanos\Documents\chanos.png ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:21:53,114 [1] INFO  VirusChan - ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:21:53,126 [4] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:21:53,854 [4] ERROR VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ ½ºÄµ ¿¡·¯
2021-01-25 23:22:08,443 [1] INFO  VirusChan - ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:22:08,443 [5] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ ½ºÄµ ½ÃÀÛ
2021-01-25 23:22:09,094 [5] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ ÃÖÃÊ ½ºÄµ ÇÊ¿ä, ½ºÄµ Áß
2021-01-25 23:22:10,610 [5] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:22:26,497 [5] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:22:42,255 [5] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:22:57,830 [5] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ Å½»ö ¸®½ºÆ® Å¥ Ãß°¡, ½ºÄµ Áß
2021-01-25 23:23:13,638 [5] INFO  VirusChan - C:\Users\Chanos\Desktop\git\CryptoChan\image\TrayIcon.JPG ÆÄÀÏ ½ºÄµ ¿Ï·á
